﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.artifacts.driedrose$ghosthero.dialogue_halls_4,"The monsters here are otherworldly, where did they come from?",这里的怪物太诡异了，它们究竟从何而来？
items.artifacts.driedrose$ghosthero.dialogue_halls_5,Can you feel it? It's like something is watching us.,感觉到了吗？好像有什么东西在盯着我们。
items.artifacts.driedrose$ghosthero.dialogue_halls_6,"Thank goodness there are torches, it's so dark here!",还好有火把，这里太暗了！
items.artifacts.driedrose$ghosthero.dialogue_ascension_1,"Why is this happening, I thought we succeeded?",为什么会发生这样的事情，我们不是成功了吗？
items.artifacts.driedrose$ghosthero.dialogue_ascension_2,How is that thing still able to influence this world?,那个怪物...怎么还能继续影响这个世界？
items.artifacts.driedrose$ghosthero.dialogue_ascension_3,I hope you know what you're doing with that amulet.,我希望你明白你正在用那个护符做什么。
items.artifacts.driedrose$ghosthero.dialogue_ascension_4,I suppose we're not done just yet.,我想我们还没结束。
items.artifacts.driedrose$ghosthero.dialogue_ascension_5,"We've come so far already, we can finish this!",已经走了这么远，我们可以结束这一切了！
items.artifacts.driedrose$ghosthero.dialogue_ascension_6,"Just a little further, we can make it out of here!",再往前走一点，我们就可以离开这里了！
items.artifacts.driedrose$ghosthero.seen_goo_1,Beware Goo!,当心粘咕！
items.artifacts.driedrose$ghosthero.seen_goo_2,"Many of my friends died to this thing, time for vengeance!",有太多朋友死在这个家伙手上了，此仇必报！
items.artifacts.driedrose$ghosthero.seen_goo_3,Such an abomination cannot be allowed to live!,绝不能让这个鬼东西活着！
items.artifacts.driedrose$ghosthero.seen_tengu_1,The one prisoner left is a deadly assassin. Of course...,唯一剩下的囚犯是个危险的刺客。真应景...
items.artifacts.driedrose$ghosthero.seen_tengu_2,He's trapped us!,我们被他困住了！
items.artifacts.driedrose$ghosthero.seen_tengu_3,I've heard horror stories about that mask...,我听过不少有关那个面具的鬼故事...
items.artifacts.driedrose$ghosthero.seen_dm300_1,Only dwarves would build a mining machine that kills intruders.,让挖矿的机器追杀外来者这种事只有矮人才干得出来。
items.artifacts.driedrose$ghosthero.seen_dm300_2,That thing is huge...,真是个大家伙...
items.artifacts.driedrose$ghosthero.seen_dm300_3,How has this thing stayed active for so long?,这东西怎么弄的，能运作这么久？
items.artifacts.driedrose$ghosthero.seen_king_1,"When people say power corrupts, this is what they mean.",“权力导致腐败”的说法指的就是这种情况。
items.artifacts.driedrose$ghosthero.seen_king_2,He's more of a lich than a king now.,什么国王，根本就是个巫妖。
items.artifacts.driedrose$ghosthero.seen_king_3,Even in death the dwarves obey their master.,就算死了，这些矮人仍听令于他们的旧主。
items.artifacts.driedrose$ghosthero.seen_yog_1,"Oh, this doesn't look good.",呃，这看起来不妙。
items.artifacts.driedrose$ghosthero.seen_yog_2,So that's what a god looks like?,原来神是长这样的？
items.artifacts.driedrose$ghosthero.seen_yog_3,This is going to hurt...,这下子要吃苦了...
items.artifacts.driedrose$ghosthero.defeated_by_enemy_1,Good luck...,祝你接下来好运...
items.artifacts.driedrose$ghosthero.defeated_by_enemy_2,Tired... for now...,暂时有点...累了...
items.artifacts.driedrose$ghosthero.defeated_by_enemy_3,I will return...,我会回来的...
items.artifacts.driedrose$ghosthero.defeated_by_boss_1,I'm sorry... good luck...,抱歉...祝好...
items.artifacts.driedrose$ghosthero.defeated_by_boss_2,Finish it off... without me...,别管我...消灭它...
items.artifacts.driedrose$ghosthero.defeated_by_boss_3,No... I can't...,我...不能...
items.artifacts.driedrose$ghosthero.blessed_ankh_1,How did you survive that?,刚才你怎么活下来的？
items.artifacts.driedrose$ghosthero.blessed_ankh_2,I wish I had one of those...,我当时要有个这东西该多好...
items.artifacts.driedrose$ghosthero.blessed_ankh_3,Oh my! You're still alive!,我的天！你还活着！
items.artifacts.driedrose$ghosthero.player_killed_1,No!...,不要！...
items.artifacts.driedrose$ghosthero.player_killed_2,I couldn't help them...,我没能帮上忙...
items.artifacts.driedrose$ghosthero.player_killed_3,Not like this...,怎么会这样...
items.artifacts.driedrose$ghosthero.direct_prompt,What should I do?,我应该怎么办？
items.artifacts.driedrose$ghosthero.directed_follow_1,"Okay, I'll follow you.",好，我会跟紧的。
items.artifacts.driedrose$ghosthero.directed_follow_2,I'll fall in behind you.,我会跟在你后面。
items.artifacts.driedrose$ghosthero.directed_follow_3,Following you...,跟着你...
items.artifacts.driedrose$ghosthero.directed_follow_4,"Okay, let's go!",好，走吧！
items.artifacts.driedrose$ghosthero.directed_follow_5,I've got your back.,我掩护你背后。
items.artifacts.driedrose$ghosthero.directed_attack_1,"Okay, I'll attack that one.",好，我打过去。
items.artifacts.driedrose$ghosthero.directed_attack_2,I'll get that one.,我去解决那只。
items.artifacts.driedrose$ghosthero.directed_attack_3,Engaging...,正在接近...
items.artifacts.driedrose$ghosthero.directed_attack_4,Let's get them!,一起上！
items.artifacts.driedrose$ghosthero.directed_attack_5,I've got that one.,那只让我来。
items.artifacts.driedrose$ghosthero.directed_position_1,"Okay, I'll hold that position.",好，我守住那里。
items.artifacts.driedrose$ghosthero.directed_position_2,I'll go there and defend.,我去那里防守。
items.artifacts.driedrose$ghosthero.directed_position_3,Repositioning...,正在过去...
items.artifacts.driedrose$ghosthero.directed_position_4,On my way!,在路上！
items.artifacts.driedrose$ghosthero.directed_position_5,I'll head over there.,那我就去那里。
items.artifacts.driedrose$ghosthero.desc,"A frail looking ethereal figure with a humanoid shape. Their power seems tied to the rose you have.\n\nThis ghost may not be much, they seem to be your only true friend down here.","看起来很脆弱的人型幻影，身形飘渺。它的力量似乎与你手上的玫瑰有关。\n\n这个幽灵并没有什么过人之处，但它应该是你在这里唯一的挚友了。"
items.artifacts.etherealchains.name,ethereal chains,虚空锁链
items.artifacts.etherealchains.ac_cast,CAST,施放
items.artifacts.etherealchains.rooted,Your chains cannot pull you while you are rooted.,锁链无法拉动被缠绕的你。
items.artifacts.etherealchains.no_charge,Your chains do not have enough charge.,你的锁链充能不足。
items.artifacts.etherealchains.cursed,You can't use cursed chains.,你不能使用被诅咒的锁链。
items.artifacts.etherealchains.does_nothing,That won't do anything.,这样并没有用。
items.artifacts.etherealchains.cant_pull,Your chains cannot pull that target.,你的锁链不能拉动那个目标。
items.artifacts.etherealchains.cant_reach,Your chains can't reach there.,你的锁链无法触及那里。
items.artifacts.etherealchains.inside_wall,"Your chains can only pull you through walls, not into them.",你的锁链仅能带你穿过墙壁，而非穿入墙壁。
items.artifacts.etherealchains.nothing_to_grab,There is nothing to grab there.,目标区域没有可供抓取的物件。
items.artifacts.etherealchains.prompt,Choose a location to target.,选择要瞄准的地方
items.artifacts.etherealchains.desc,"These large yet lightweight chains glow with spiritual energy. They can be used to pull you towards terrain, or pull enemies toward you. The ethereal nature of the chains even allows them to extend through walls!",这些巨大但轻盈的锁链散发着灵魂能量。它们可以用来把你拉向一些地形，或将敌人拉向你。无实体的天然特质甚至可以允许其穿透墙壁！
items.artifacts.etherealchains.desc_cursed,"The cursed chains are locked to your side, constantly swinging around, trying to trip or bind you.",被诅咒的锁链将自己锁在了你的身边，不断地在周围晃动，试图绊倒或绑住你。
items.artifacts.etherealchains.desc_equipped,"The chains rest around your side, slowly siphoning the spiritual energy of those you defeat. Each charge is a link in the chain, which will extend out exactly one tile.",锁链围绕在你的身边，缓慢地收集被你击败者的精神能量。每一发充能都是锁链中的一环，每一个环节都能正好延长一格。
items.artifacts.etherealchains$chainsrecharge.levelup,Your chains grow stronger!,你的锁链变得更强大了！
items.artifacts.holytome.name,holy tome,神圣法典
items.artifacts.holytome.ac_cast,CAST,施放
items.artifacts.holytome.no_spell,You're not able to cast that spell right now.,你现在不足以施放该法术。
items.artifacts.holytome.cursed,You cannot use a cursed tome.,你不能使用被诅咒的圣典。
items.artifacts.holytome.levelup,Your tome grows stronger!,你的圣典变得更强大了！
items.artifacts.holytome.desc,"A holy tome that acts as a focus for the Cleric's divine magic. Using the tome lets the Cleric cast a variety of magical spells.\n\nThe tome will steadily get more powerful as the Cleric uses it, giving the Cleric more maximum charges and slightly increasing the recharging speed.","这本圣典能够帮助牧师引导、聚焦自身的神圣魔法，从而使牧师能够施放一系列的法术。\n\n圣典会随着牧师的使用逐步变强，给予牧师更高的最大充能数并略微提升充能速度。"
items.artifacts.hornofplenty.name,horn of plenty,丰饶之角
items.artifacts.hornofplenty.ac_snack,SNACK,小吃一口
items.artifacts.hornofplenty.ac_eat,EAT,食用
items.artifacts.hornofplenty.ac_store,STORE,贮存
items.artifacts.hornofplenty.eat,You eat from the horn.,你享用了号角中的食物。
items.artifacts.hornofplenty.prompt,Select some food,选择一个食物
items.artifacts.hornofplenty.no_food,Your horn has no food in it to eat!,你的号角里没有食物可供食用！
items.artifacts.hornofplenty.full,Your horn is full of food!,你的号角装满了食物！
items.artifacts.hornofplenty.reject,Your horn rejects the uncooked blandfruit.,你的号角并不接受未经烹煮的无味果。
items.artifacts.hornofplenty.maxlevel,Your horn has consumed all the food it can!,你的号角已经吞噬了尽可能多的食物！
items.artifacts.hornofplenty.levelup,The horn consumes your food offering and grows in strength!,号角吞噬了你提供的食物，变得更加强大了。
items.artifacts.hornofplenty.feed,The horn consumes your food offering.,号角吞噬了你提供的食物。
items.artifacts.hornofplenty.desc,"This horn can't be blown into, but instead seems to fill up with food as you adventure and gain experience. You can consume each charge individually as a snack, or eat until you're full.",这个号角不能用于吹奏，不过会随着你深入地牢获得经验而逐渐填充食物。你可以一点点慢慢吃，也可以直接大快朵颐地吃到饱。
